190.0	1.968
190.5	1.944
191.0	1.920
191.5	1.906
192.0	1.905
192.5	1.896
193.0	1.885
193.5	1.874
194.0	1.870
194.5	1.872
195.0	1.881
195.5	1.878
196.0	1.874
196.5	1.875
197.0	1.867
197.5	1.863
198.0	1.851
198.5	1.855
199.0	1.864
199.5	1.874
200.0	1.878
200.5	1.866
201.0	1.866
201.5	1.871
202.0	1.869
202.5	1.870
203.0	1.861
203.5	1.863
204.0	1.862
204.5	1.857
205.0	1.857
205.5	1.848
206.0	1.859
206.5	1.865
207.0	1.862
207.5	1.863
208.0	1.857
208.5	1.852
209.0	1.847
209.5	1.859
210.0	1.864
210.5	1.868
211.0	1.870
211.5	1.861
212.0	1.860
212.5	1.860
213.0	1.861
213.5	1.865
214.0	1.872
214.5	1.877
215.0	1.875
215.5	1.874
216.0	1.853
216.5	1.844
217.0	1.844
217.5	1.845
218.0	1.846
218.5	1.846
219.0	1.848
219.5	1.843
220.0	1.843
220.5	1.842
221.0	1.839
221.5	1.843
222.0	1.848
222.5	1.851
223.0	1.851
223.5	1.846
224.0	1.842
224.5	1.838
225.0	1.833
225.5	1.832
226.0	1.830
226.5	1.829
227.0	1.828
227.5	1.830
228.0	1.832
228.5	1.831
229.0	1.833
229.5	1.833
230.0	1.831
230.5	1.831
231.0	1.821
231.5	1.815
232.0	1.810
232.5	1.805
233.0	1.800
233.5	1.799
234.0	1.794
234.5	1.794
235.0	1.791
235.5	1.791
236.0	1.787
236.5	1.788
237.0	1.789
237.5	1.791
238.0	1.794
238.5	1.795
239.0	1.793
239.5	1.789
240.0	1.785
240.5	1.785
241.0	1.785
241.5	1.789
242.0	1.795
242.5	1.799
243.0	1.801
243.5	1.795
244.0	1.787
244.5	1.779
245.0	1.774
245.5	1.776
246.0	1.782
246.5	1.790
247.0	1.792
247.5	1.794
248.0	1.789
248.5	1.778
249.0	1.765
249.5	1.751
250.0	1.740
250.5	1.735
251.0	1.728
251.5	1.724
252.0	1.721
252.5	1.724
253.0	1.722
253.5	1.723
254.0	1.720
254.5	1.717
255.0	1.718
255.5	1.714
256.0	1.710
256.5	1.702
257.0	1.697
257.5	1.694
258.0	1.690
258.5	1.690
259.0	1.689
259.5	1.688
260.0	1.688
260.5	1.688
261.0	1.686
261.5	1.677
262.0	1.673
262.5	1.665
263.0	1.661
263.5	1.656
264.0	1.650
264.5	1.644
265.0	1.642
265.5	1.640
266.0	1.636
266.5	1.630
267.0	1.625
267.5	1.620
268.0	1.611
268.5	1.607
269.0	1.600
269.5	1.594
270.0	1.587
270.5	1.581
271.0	1.580
271.5	1.574
272.0	1.567
272.5	1.562
273.0	1.556
273.5	1.553
274.0	1.544
274.5	1.537
275.0	1.531
275.5	1.527
276.0	1.520
276.5	1.509
277.0	1.500
277.5	1.496
278.0	1.492
278.5	1.488
279.0	1.483
279.5	1.479
280.0	1.474
280.5	1.467
281.0	1.457
281.5	1.450
282.0	1.444
282.5	1.441
283.0	1.437
283.5	1.429
284.0	1.419
284.5	1.413
285.0	1.405
285.5	1.395
286.0	1.390
286.5	1.388
287.0	1.387
287.5	1.383
288.0	1.379
288.5	1.374
289.0	1.370
289.5	1.366
290.0	1.358
290.5	1.356
291.0	1.354
291.5	1.348
292.0	1.341
292.5	1.332
293.0	1.328
293.5	1.325
294.0	1.322
294.5	1.320
295.0	1.317
295.5	1.316
296.0	1.312
296.5	1.310
297.0	1.306
297.5	1.300
298.0	1.295
298.5	1.289
299.0	1.283
299.5	1.277
300.0	1.269
300.5	1.261
301.0	1.256
301.5	1.250
302.0	1.243
302.5	1.239
303.0	1.236
303.5	1.233
304.0	1.231
304.5	1.231
305.0	1.225
305.5	1.220
306.0	1.215
306.5	1.211
307.0	1.208
307.5	1.207
308.0	1.207
308.5	1.205
309.0	1.203
309.5	1.202
310.0	1.196
310.5	1.193
311.0	1.188
311.5	1.184
312.0	1.180
312.5	1.178
313.0	1.174
313.5	1.166
314.0	1.165
314.5	1.162
315.0	1.159
315.5	1.155
316.0	1.153
316.5	1.150
317.0	1.148
317.5	1.148
318.0	1.143
318.5	1.139
319.0	1.137
319.5	1.130
320.0	1.124
320.5	1.121
321.0	1.121
321.5	1.117
322.0	1.114
322.5	1.114
323.0	1.108
323.5	1.105
324.0	1.099
324.5	1.093
325.0	1.093
325.5	1.095
326.0	1.095
326.5	1.092
327.0	1.089
327.5	1.087
328.0	1.080
328.5	1.079
329.0	1.073
329.5	1.071
330.0	1.073
330.5	1.074
331.0	1.071
331.5	1.069
332.0	1.068
332.5	1.065
333.0	1.061
333.5	1.058
334.0	1.054
334.5	1.051
335.0	1.050
335.5	1.053
336.0	1.052
336.5	1.050
337.0	1.049
337.5	1.043
338.0	1.043
338.5	1.043
339.0	1.045
339.5	1.044
340.0	1.045
340.5	1.048
341.0	1.048
341.5	1.045
342.0	1.040
342.5	1.036
343.0	1.041
343.5	1.036
344.0	1.036
344.5	1.036
345.0	1.033
345.5	1.028
346.0	1.027
346.5	1.022
347.0	1.019
347.5	1.020
348.0	1.019
348.5	1.016
349.0	1.019
349.5	1.018
350.0	1.015
350.5	1.015
351.0	1.018
351.5	1.019
352.0	1.020
352.5	1.019
353.0	1.015
353.5	1.016
354.0	1.012
354.5	1.008
355.0	1.004
355.5	1.006
356.0	1.008
356.5	1.006
357.0	1.003
357.5	1.000
358.0	0.996
358.5	0.993
359.0	0.991
359.5	0.987
360.0	0.985
360.5	0.985
361.0	0.983
361.5	0.984
362.0	0.985
362.5	0.985
363.0	0.982
363.5	0.981
364.0	0.982
364.5	0.980
